date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:47:41	0/-1	---M--	302	error ('')			https://www.minamer.com.mx/login	C:/Users/OSCAR%20LEAL/Desktop/minamer/www.minamer.com.mx/login.2c.delayed	(from https://www.minamer.com.mx/productos-y-servicios/)
14:47:41	0/-1	---M--	302	error ('')			https://www.minamer.com.mx/login	C:/Users/OSCAR%20LEAL/Desktop/minamer/www.minamer.com.mx/login.2d.delayed	(from https://www.minamer.com.mx/contacto/)
14:47:42	32684/32684	---M--	200	added ('OK')	image/jpeg	etag:%22c2264441aec0500be1b803c8771a88404d5c77fa%22	https://image.jimcdn.com/app/cms/image/transf/dimension=400x1024:format=jpg/path/sc8497b8285030272/image/i4e30282d290b0db3/version/1493929195/image.jpg	C:/Users/OSCAR%20LEAL/Desktop/minamer/image.jimcdn.com/app/cms/image/transf/dimension=400x1024_format=jpg/path/sc8497b8285030272/image/i4e30282d290b0db3/version/1493929195/image.jpg	(from https://www.minamer.com.mx/productos-y-servicios/)
14:47:42	2314/2314	---M--	200	added ('OK')	image/png	etag:%223c1f0fe5462b42c90d9ee3a4e57e89a0%22	https://assets2.jimstatic.com/s/img/cms/siteadmin/newlogostuff/jimdologo2015.png	C:/Users/OSCAR%20LEAL/Desktop/minamer/assets2.jimstatic.com/s/img/cms/siteadmin/newlogostuff/jimdologo2015.png	(from https://www.minamer.com.mx/about/)
14:47:42	0/-1	---M--	302	error ('')			https://www.minamer.com.mx/login	C:/Users/OSCAR%20LEAL/Desktop/minamer/www.minamer.com.mx/login.2f.delayed	(from https://www.minamer.com.mx/about/)
14:47:43	0/-1	---M--	302	error ('')			https://www.minamer.com.mx/login	C:/Users/OSCAR%20LEAL/Desktop/minamer/www.minamer.com.mx/login.30.delayed	(from https://www.minamer.com.mx/j/privacy)
14:47:45	0/-1	---M--	302	error ('')			https://www.minamer.com.mx/login	C:/Users/OSCAR%20LEAL/Desktop/minamer/www.minamer.com.mx/login.32.delayed	(from https://www.minamer.com.mx/j/cookies/policy)
14:47:45	0/-1	---M--	302	error ('')			https://www.minamer.com.mx/login	C:/Users/OSCAR%20LEAL/Desktop/minamer/www.minamer.com.mx/login.33.delayed	(from https://www.minamer.com.mx/sitemap/)
14:47:45	22/22	---M--	200	added ('OK')	text/plain	date:Fri,%2031%20Aug%202018%2019:46:32%20GMT	https://assets.jimstatic.com/robots.txt		(from https://assets.jimstatic.com/web.css.5198cf957ea1993c1524078bbd1a21c9.css)
14:47:45	24242/24242	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20Aug%202018%2019:46:31%20GMT	https://www.minamer.com.mx/j/cookies/settings	C:/Users/OSCAR%20LEAL/Desktop/minamer/www.minamer.com.mx/j/cookies/settings.html	(from https://www.minamer.com.mx/j/cookies/policy)
14:47:45	0/-1	---M--	302	error ('')			https://www.minamer.com.mx/login	C:/Users/OSCAR%20LEAL/Desktop/minamer/www.minamer.com.mx/login.34.delayed	(from https://www.minamer.com.mx/j/cookies/settings)
14:47:46	24242/24242	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20Aug%202018%2019:46:33%20GMT	https://www.minamer.com.mx/j/cookies/settings/	C:/Users/OSCAR%20LEAL/Desktop/minamer/www.minamer.com.mx/j/cookies/settings/index.html	(from https://www.minamer.com.mx/j/cookies/settings)
14:47:46	0/-1	---M--	302	error ('')			https://www.minamer.com.mx/login	C:/Users/OSCAR%20LEAL/Desktop/minamer/www.minamer.com.mx/login.35.delayed	(from https://www.minamer.com.mx/j/cookies/settings/)
